"","Sample_names","Sample","Type","Stain","Dilution","Tank","Day","Timepoint","Feeding_status","Time_cont","Counts","BacterialDensity","AlgalDensity","PercentageHNA","HNADensity"
"363","B09 Artemia.D16.7_FIXED_SG_10.fcs","Artemia.D16.7","FIXED","SG",10,"Artemia","D16","7","Artemia",16.8333333333333,9112,1819997.60316382,3794.99061239164,70.6870061457419,1286501.81760077
"364","B09 Artemia.D4.7_FIXED_SG_10.fcs","Artemia.D4.7","FIXED","SG",10,"Artemia","D4","7","Artemia",4.83333333333333,8286,1654123.33060507,399.257381270836,20.2148201786145,334378.056814325
"365","B09 T1.D16.1.B_FIXED_SG_10.fcs","T1.D16.1.B","FIXED","SG",10,"T1","D16","1","B",16.0833333333333,56344,18733874.185397,0,27.1989919068579,5095424.92352706
"366","B09 T1.D3.3.A_FIXED_SG_10.fcs","T1.D3.3.A","FIXED","SG",10,"T1","D3","3","A",3.33333333333333,6883,2283221.65461421,16917.6673522192,46.1571988958303,1053871.16035295
"367","B09 T1.D5.2.B_FIXED_SG_10.fcs","T1.D5.2.B","FIXED","SG",10,"T1","D5","2","B",5.20833333333333,32239,10737385.5120733,20316.4029975021,64.7848878687304,6956203.16402998
"368","B09 T1.D9.7.B_FIXED_SG_10.fcs","T1.D9.7.B","FIXED","SG",10,"T1","D9","7","B",9.83333333333333,44781,14872961.5729516,33876.9138795709,73.8929456689221,10990069.4144608
"369","B09 T2.D13.4.B_FIXED_SG_10.fcs","T2.D13.4.B","FIXED","SG",10,"T2","D13","4","B",13.4583333333333,107075,35462343.511956,0,89.5951435909409,31772537.5902497
"370","B09 T2.D17.8.B_FIXED_SG_10.fcs","T2.D17.8.B","FIXED","SG",10,"T2","D17","8","B",17.9583333333333,123479,40896565.429073,331.202596628358,90.5149863539549,37017520.6173616
"371","B09 T2.D2.5.B_FIXED_SG_10.fcs","T2.D2.5.B","FIXED","SG",10,"T2","D2","5","B",2.58333333333333,6805,2268257.72474251,18332.7222425919,77.9867744305658,1768941.03529882
"372","B09 T2.D7.PWE.0_FIXED_SG_10.fcs","T2.D7.PWE.0","FIXED","SG",10,"T2","D7","PWE","0",NA,100655,20059987.6437412,42449.7279630109,66.0881227956882,13257269.2667955
"373","B09 T3.D10.6.B_FIXED_SG_10.fcs","T3.D10.6.B","FIXED","SG",10,"T3","D10","6","B",10.7083333333333,89130,29694163.1130064,23320.8955223881,70.6305396611691,20973147.6545842
"374","B09 T3.D6.1.B_FIXED_SG_10.fcs","T3.D6.1.B","FIXED","SG",10,"T3","D6","1","B",6.08333333333333,54480,18099667.7740864,29900.3322259136,75.8994126284875,13737541.5282392
"375","B09 T4.D14.2.B_FIXED_SG_10.fcs","T4.D14.2.B","FIXED","SG",10,"T4","D14","2","B",14.2083333333333,24588,8142800.37091005,662.339382699695,56.9993492760696,4641343.22426812
"376","B09 T4.D16.3.A_FIXED_SG_10.fcs","T4.D16.3.A","FIXED","SG",10,"T4","D16","3","A",16.3333333333333,25612,8520009.31439407,332.656930907155,71.7202873652975,6110575.16383354
