"","OTU","rep","fold","PredictedClass","TrueClass","Regression","Combined","TrueValue"
"90_1_9.fcs3","Srhizophila",1,2,"Present","Absent",0.0224365121593525,0.0224365121593525,0.01
"80_4_16.fcs2","Srhizophila",1,2,"Present","Present",0.0795314273852802,0.0795314273852802,0.04
"50_10_40.fcs3","Srhizophila",1,2,"Present","Present",0.0846226800002236,0.0846226800002236,0.1
"80_19_1.fcs3","Srhizophila",1,2,"Present","Present",0.342968123132034,0.342968123132034,0.19
"0_100_0.fcs3","Srhizophila",1,2,"Present","Present",0.998820230969497,0.998820230969497,1
"50_0_50.fcs3","Srhizophila",1,3,"Absent","Absent",7.86581366265601e-09,0,0
"60_1_39.fcs3","Srhizophila",1,3,"Absent","Absent",0.0119644464435567,0,0.01
"79_2_19.fcs3","Srhizophila",1,3,"Present","Present",0.0134275673355606,0.0134275673355606,0.02
"75_6_19.fcs3","Srhizophila",1,3,"Present","Present",0.0865743584381354,0.0865743584381354,0.06
"60_10_30.fcs3","Srhizophila",1,3,"Present","Present",0.128388379413315,0.128388379413315,0.1
"33_33_33.fcs4","Srhizophila",1,3,"Present","Present",0.395972209327266,0.395972209327266,0.33
"0,007_0,003_99,99.fcs5","Srhizophila",1,4,"Absent","Absent",4.27844210681038e-05,0,3e-05
"70_1_29.fcs3","Srhizophila",1,4,"Absent","Absent",0.00951703744863644,0,0.01
"80_2_18.fcs3","Srhizophila",1,4,"Present","Present",0.0427401647703083,0.0427401647703083,0.02
"80_6_14.fcs4","Srhizophila",1,4,"Present","Present",0.0967319489856571,0.0967319489856571,0.06
"70_10_20.fcs2","Srhizophila",1,4,"Present","Present",0.112402450455082,0.112402450455082,0.1
"0_50_50.fcs3","Srhizophila",1,4,"Present","Present",0.590753690920281,0.590753690920281,0.5
"99,99_0,007_0,003.fcs4","Srhizophila",1,5,"Absent","Absent",1.62363501781693e-06,0,7e-05
"75_1_24.fcs3","Srhizophila",1,5,"Present","Absent",0.0210539791927321,0.0210539791927321,0.01
"53,3_4_42,7.fcs4","Srhizophila",1,5,"Present","Present",0.0616315751356802,0.0616315751356802,0.04
"73_8_19.fcs4","Srhizophila",1,5,"Present","Present",0.0993212546825932,0.0993212546825932,0.08
"80_10_10.fcs3","Srhizophila",1,5,"Present","Present",0.117717338027636,0.117717338027636,0.1
"50_50_0.fcs2","Srhizophila",1,5,"Present","Present",0.467465804779167,0.467465804779167,0.5
"0_0_100.fcs4","Srhizophila",2,1,"Absent","Absent",1.38372132451283e-05,0,0
"50_1_49.fcs4","Srhizophila",2,1,"Absent","Absent",0.00216500706381685,0,0.01
"80_1_19.fcs4","Srhizophila",2,1,"Present","Absent",0.0109296309553311,0.0109296309553311,0.01
"80_4_16.fcs3","Srhizophila",2,1,"Present","Present",0.0189401368082022,0.0189401368082022,0.04
"80_8_12.fcs4","Srhizophila",2,1,"Present","Present",0.0564872006678095,0.0564872006678095,0.08
"90_10_0.fcs4","Srhizophila",2,1,"Present","Present",0.141945632247371,0.141945632247371,0.1
"0,003_99,99_0,007.fcs4","Srhizophila",2,1,"Present","Present",0.999992888759688,0.999992888759688,0.9999
"100_0_0.fcs4","Srhizophila",2,2,"Absent","Absent",0.000109061903687498,0,0
"60_1_39.fcs4","Srhizophila",2,2,"Present","Absent",0.0565007906777992,0.0565007906777992,0.01
"90_1_9.fcs4","Srhizophila",2,2,"Present","Absent",0.0631307397452155,0.0631307397452155,0.01
"75_6_19.fcs4","Srhizophila",2,2,"Present","Present",0.127470404679406,0.127470404679406,0.06
"50_10_40.fcs4","Srhizophila",2,2,"Present","Present",0.0851313903903449,0.0851313903903449,0.1
"80_19_1.fcs4","Srhizophila",2,2,"Present","Present",0.39247864144208,0.39247864144208,0.19
"0_100_0.fcs4","Srhizophila",2,2,"Present","Present",0.997688322601934,0.997688322601934,1
"50_0_50.fcs4","Srhizophila",2,3,"Absent","Absent",3.06751936622927e-18,0,0
"70_1_29.fcs4","Srhizophila",2,3,"Absent","Absent",0.0113740384132313,0,0.01
"79_2_19.fcs4","Srhizophila",2,3,"Present","Present",0.0118784192257126,0.0118784192257126,0.02
"80_6_14.fcs5","Srhizophila",2,3,"Present","Present",0.0751629960000744,0.0751629960000744,0.06
"60_10_30.fcs4","Srhizophila",2,3,"Present","Present",0.12593585113256,0.12593585113256,0.1
"33_33_33.fcs5","Srhizophila",2,3,"Present","Present",0.283447476029089,0.283447476029089,0.33
"0,007_0,003_99,99.fcs6","Srhizophila",2,4,"Absent","Absent",4.74081649662864e-06,0,3e-05
"75_1_24.fcs4","Srhizophila",2,4,"Present","Absent",0.00891288748581024,0.00891288748581024,0.01
"80_2_18.fcs4","Srhizophila",2,4,"Present","Present",0.0437438011261759,0.0437438011261759,0.02
"73_8_19.fcs5","Srhizophila",2,4,"Present","Present",0.138707930289111,0.138707930289111,0.08
"70_10_20.fcs3","Srhizophila",2,4,"Present","Present",0.116632796105243,0.116632796105243,0.1
"0_50_50.fcs4","Srhizophila",2,4,"Present","Present",0.21614234624131,0.21614234624131,0.5
"99,99_0,007_0,003.fcs5","Srhizophila",2,5,"Absent","Absent",2.02865741770207e-05,0,7e-05
"50_1_49.fcs5","Srhizophila",2,5,"Absent","Absent",0.0635113478024447,0,0.01
"53,3_4_42,7.fcs5","Srhizophila",2,5,"Present","Present",0.0672370449426144,0.0672370449426144,0.04
"80_4_16.fcs4","Srhizophila",2,5,"Present","Present",0.0297357908598143,0.0297357908598143,0.04
"80_10_10.fcs4","Srhizophila",2,5,"Present","Present",0.0970059876030037,0.0970059876030037,0.1
"50_50_0.fcs3","Srhizophila",2,5,"Present","Present",0.530962662681112,0.530962662681112,0.5
"0_0_100.fcs5","Srhizophila",3,1,"Absent","Absent",1.32526047263819e-05,0,0
"99,99_0,007_0,003.fcs6","Srhizophila",3,1,"Absent","Absent",0.0114218300909456,0,7e-05
"90_1_9.fcs5","Srhizophila",3,1,"Present","Absent",0.0361543326677486,0.0361543326677486,0.01
"77_4_19.fcs4","Srhizophila",3,1,"Present","Present",0.0660209816051411,0.0660209816051411,0.04
"80_8_12.fcs5","Srhizophila",3,1,"Present","Present",0.0995241826705333,0.0995241826705333,0.08
"80_19_1.fcs5","Srhizophila",3,1,"Present","Present",0.317657769794852,0.317657769794852,0.19
"0,003_99,99_0,007.fcs5","Srhizophila",3,1,"Present","Present",0.999998258731406,0.999998258731406,0.9999
"100_0_0.fcs5","Srhizophila",3,2,"Absent","Absent",0.0118977731152903,0,0
"50_1_49.fcs6","Srhizophila",3,2,"Absent","Absent",0.00343489251889177,0,0.01
"79_2_19.fcs5","Srhizophila",3,2,"Present","Present",0.0395189435583492,0.0395189435583492,0.02
"80_4_16.fcs5","Srhizophila",3,2,"Present","Present",0.0808180914251698,0.0808180914251698,0.04
"50_10_40.fcs5","Srhizophila",3,2,"Present","Present",0.0732238386925928,0.0732238386925928,0.1
"33_33_33.fcs6","Srhizophila",3,2,"Present","Present",0.229131757554248,0.229131757554248,0.33
"0_100_0.fcs5","Srhizophila",3,2,"Present","Present",0.999571732425526,0.999571732425526,1
"50_0_50.fcs5","Srhizophila",3,3,"Absent","Absent",0.0134751072135706,0,0
"60_1_39.fcs5","Srhizophila",3,3,"Absent","Absent",0.0385052435094258,0,0.01
"80_2_18.fcs5","Srhizophila",3,3,"Present","Present",0.0800228772895994,0.0800228772895994,0.02
"75_6_19.fcs5","Srhizophila",3,3,"Present","Present",0.202611639819097,0.202611639819097,0.06
"60_10_30.fcs5","Srhizophila",3,3,"Present","Present",0.120453975592473,0.120453975592473,0.1
"0_50_50.fcs5","Srhizophila",3,3,"Present","Present",0.146753829924102,0.146753829924102,0.5
"0,007_0,003_99,99.fcs7","Srhizophila",3,4,"Absent","Absent",0.000162963809382373,0,3e-05
"70_1_29.fcs5","Srhizophila",3,4,"Absent","Absent",0.321982524524638,0,0.01
"53,3_4_42,7.fcs6","Srhizophila",3,4,"Present","Present",0.0898722646253413,0.0898722646253413,0.04
"80_6_14.fcs6","Srhizophila",3,4,"Present","Present",0.0613002324521878,0.0613002324521878,0.06
"70_10_20.fcs4","Srhizophila",3,4,"Present","Present",0.105251377718393,0.105251377718393,0.1
"50_50_0.fcs4","Srhizophila",3,4,"Present","Present",0.701731387060572,0.701731387060572,0.5
"99,99_0,007_0,003.fcs7","Srhizophila",3,5,"Absent","Absent",0.00361144741381283,0,7e-05
"75_1_24.fcs5","Srhizophila",3,5,"Present","Absent",0.0204637636615653,0.0204637636615653,0.01
"90_1_9.fcs6","Srhizophila",3,5,"Present","Absent",0.0127272505173711,0.0127272505173711,0.01
"73_8_19.fcs6","Srhizophila",3,5,"Present","Present",0.09162131404263,0.09162131404263,0.08
"80_10_10.fcs5","Srhizophila",3,5,"Present","Present",0.0716589026024152,0.0716589026024152,0.1
"80_19_1.fcs6","Srhizophila",3,5,"Present","Present",0.347398834381579,0.347398834381579,0.19
"0_100_0.fcs6","Krhizophila",1,1,"Absent","Absent",0.00214937387894952,0,0
"99,99_0,007_0,003.fcs8","Krhizophila",1,1,"Absent","Absent",0.00214855357192188,0,3e-05
"80_8_12.fcs6","Krhizophila",1,1,"Present","Present",0.0874161950924742,0.0874161950924742,0.12
"75_6_19.fcs6","Krhizophila",1,1,"Present","Present",0.267422385917155,0.267422385917155,0.19
"75_1_24.fcs6","Krhizophila",1,1,"Present","Present",0.295614582256365,0.295614582256365,0.24
"50_10_40.fcs6","Krhizophila",1,1,"Present","Present",0.224215617269555,0.224215617269555,0.4
"0,007_0,003_99,99.fcs8","Krhizophila",1,1,"Present","Present",0.999104269965902,0.999104269965902,0.9999
"100_0_0.fcs6","Krhizophila",1,2,"Absent","Absent",0.0128309625251356,0,0
"0,003_99,99_0,007.fcs6","Krhizophila",1,2,"Absent","Absent",4.46534025469392e-07,0,7e-05
"80_6_14.fcs7","Krhizophila",1,2,"Present","Present",0.198638593974366,0.198638593974366,0.14
"77_4_19.fcs5","Krhizophila",1,2,"Present","Present",0.182258474494797,0.182258474494797,0.19
"70_1_29.fcs6","Krhizophila",1,2,"Present","Present",0.292986754805129,0.292986754805129,0.29
"53,3_4_42,7.fcs7","Krhizophila",1,2,"Present","Present",0.332891273629433,0.332891273629433,0.427
"0_0_100.fcs6","Krhizophila",1,2,"Present","Present",0.999864788067724,0.999864788067724,1
"50_50_0.fcs5","Krhizophila",1,3,"Absent","Absent",0.00209104678256376,0,0
"80_19_1.fcs7","Krhizophila",1,3,"Present","Absent",0.0357129177974686,0.0357129177974686,0.01
"80_4_16.fcs6","Krhizophila",1,3,"Present","Present",0.170247846133418,0.170247846133418,0.16
